"order","header","sdkPath","partition","namespace","status"
"50","Observer.h","/um/alljoyn_c/Observer.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"51","PasswordManager.h","/um/alljoyn_c/PasswordManager.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"52","PermissionConfigurationListener.h","/um/alljoyn_c/PermissionConfigurationListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"53","PermissionConfigurator.h","/um/alljoyn_c/PermissionConfigurator.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"54","ProxyBusObject.h","/um/alljoyn_c/ProxyBusObject.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"55","SecurityApplicationProxy.h","/um/alljoyn_c/SecurityApplicationProxy.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"56","Session.h","/um/alljoyn_c/Session.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"57","SessionListener.h","/um/alljoyn_c/SessionListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"58","SessionPortListener.h","/um/alljoyn_c/SessionPortListener.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"59","Status.h","/um/alljoyn_c/Status.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"60","TransportMask.h","/um/alljoyn_c/TransportMask.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"61","version.h","/um/alljoyn_c/version.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"62","MSAJTransport.h","/um/MSAJTransport.h","AllJoyn","Windows.Win32.Devices.AllJoyn","queued"
"63","amsi.h","/um/amsi.h","Antimalware","Windows.Win32.System.Antimalware","queued"
"64","avrfsdk.h","/um/avrfsdk.h","ApplicationVerifier","Windows.Win32.System.ApplicationVerifier","queued"
"65","appmodel.h","/um/appmodel.h","AppxPackaging","Windows.Win32.Storage.Packaging.Appx","queued"
"66","AppxPackaging.h","/um/AppxPackaging.h","AppxPackaging","Windows.Win32.Storage.Packaging.Appx","queued"
"67","getcurrentpackageinfo3.h","/um/getcurrentpackageinfo3.h","AppxPackaging","Windows.Win32.Storage.Packaging.Appx","queued"
"68","minappmodel.h","/um/minappmodel.h","AppxPackaging","Windows.Win32.Storage.Packaging.Appx","queued"
"69","packagevirtualizationcontext.h","/um/packagevirtualizationcontext.h","AppxPackaging","Windows.Win32.Storage.Packaging.Appx","queued"
"70","Audioclient.h","/um/Audioclient.h","Audio","Windows.Win32.Media.Audio","queued"
"71","audioclientactivationparams.h","/um/audioclientactivationparams.h","Audio","Windows.Win32.Media.Audio","queued"
"72","audioendpoints.h","/um/audioendpoints.h","Audio","Windows.Win32.Media.Audio","queued"
"73","audiopolicy.h","/um/audiopolicy.h","Audio","Windows.Win32.Media.Audio","queued"
"74","audiosessiontypes.h","/um/audiosessiontypes.h","Audio","Windows.Win32.Media.Audio","queued"
"75","audiostatemonitorapi.h","/um/audiostatemonitorapi.h","Audio","Windows.Win32.Media.Audio","queued"
"76","devicetopology.h","/um/devicetopology.h","Audio","Windows.Win32.Media.Audio","queued"
"77","endpointvolume.h","/um/endpointvolume.h","Audio","Windows.Win32.Media.Audio","queued"
"78","mmdeviceapi.h","/um/mmdeviceapi.h","Audio","Windows.Win32.Media.Audio","queued"
"79","mmeapi.h","/um/mmeapi.h","Audio","Windows.Win32.Media.Audio","queued"
"80","MSAcm.h","/um/MSAcm.h","Audio","Windows.Win32.Media.Audio","queued"
"81","msacmdrv.h","/um/msacmdrv.h","Audio","Windows.Win32.Media.Audio","queued"
"82","playsoundapi.h","/um/playsoundapi.h","Audio","Windows.Win32.Media.Audio","queued"
"83","SpatialAudioClient.h","/um/SpatialAudioClient.h","Audio","Windows.Win32.Media.Audio","queued"
"84","SpatialAudioHrtf.h","/um/SpatialAudioHrtf.h","Audio","Windows.Win32.Media.Audio","queued"
"85","SpatialAudioMetadata.h","/um/SpatialAudioMetadata.h","Audio","Windows.Win32.Media.Audio","queued"
"86","msapofxproxy.h","/shared/msapofxproxy.h","Audio.Apo","Windows.Win32.Media.Audio.Apo","queued"
"87","AudioAPOTypes.h","/um/AudioAPOTypes.h","Audio.Apo","Windows.Win32.Media.Audio.Apo","queued"
"88","audioenginebaseapo.h","/um/audioenginebaseapo.h","Audio.Apo","Windows.Win32.Media.Audio.Apo","queued"
"89","audioengineextensionapo.h","/um/audioengineextensionapo.h","Audio.Apo","Windows.Win32.Media.Audio.Apo","queued"
"90","audiomediatype.h","/um/audiomediatype.h","Audio.Apo","Windows.Win32.Media.Audio.Apo","queued"
"91","dls1.h","/shared/dls1.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"92","dls2.h","/shared/dls2.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"93","dmdls.h","/shared/dmdls.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"94","dmusbuff.h","/shared/dmusbuff.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"95","dmusicc.h","/um/dmusicc.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"96","dmusics.h","/um/dmusics.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"97","dsconf.h","/um/dsconf.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"98","dv.h","/um/dv.h","Audio.DirectMusic","Windows.Win32.Media.Audio.DirectMusic","queued"
"99","dsound.h","/um/dsound.h","Audio.DirectSound","Windows.Win32.Media.Audio.DirectSound","queued"
"100","audioendpoints.h","/um/audioendpoints.h","Audio.Endpoints","Windows.Win32.Media.Audio.Endpoints","queued"
"101","AudioEngineEndpoint.h","/um/AudioEngineEndpoint.h","Audio.Endpoints","Windows.Win32.Media.Audio.Endpoints","queued"
"102","endpointvolume.h","/um/endpointvolume.h","Audio.Endpoints","Windows.Win32.Media.Audio.Endpoints","queued"
"103","sddl.h","/shared/sddl.h","Authorization","Windows.Win32.Security.Authorization","queued"
"104","accctrl.h","/um/accctrl.h","Authorization","Windows.Win32.Security.Authorization","queued"
"105","AclAPI.h","/um/AclAPI.h","Authorization","Windows.Win32.Security.Authorization","queued"
"106","adtgen.h","/um/adtgen.h","Authorization","Windows.Win32.Security.Authorization","queued"
"107","AuthZ.h","/um/AuthZ.h","Authorization","Windows.Win32.Security.Authorization","queued"
"108","azroles.h","/um/azroles.h","Authorization","Windows.Win32.Security.Authorization","queued"
"109","AclUI.h","/um/AclUI.h","Authorization.UI","Windows.Win32.Security.Authorization.UI","queued"
"110","DispEx.h","/um/DispEx.h","Automation","Windows.Win32.System.Ole","queued"
"111","OAIdl.h","/um/OAIdl.h","Automation","Windows.Win32.System.Ole","queued"
"112","OleAuto.h","/um/OleAuto.h","Automation","Windows.Win32.System.Ole","queued"
"113","winnt.h","/um/winnt.h","Backup","Windows.Win32.System.SystemServices","queued"
